stationid,Name,datetime,rrr24,tm_m
40718,anzali,8/1/1998 0:00,62.26,27.2
40718,anzali,9/1/1998 0:00,512.56,22.7464
40718,anzali,10/1/1998 0:00,339.61,18.968
40718,anzali,11/1/1998 0:00,269.43,15.1519
40718,anzali,12/1/1998 0:00,182.09,11.4552
40718,anzali,1/1/1999 0:00,156.02,8.67308
40718,anzali,2/1/1999 0:00,13,10.9435
40718,anzali,3/1/1999 0:00,49.73,10.444
40718,anzali,4/1/1999 0:00,45.24,14.268
40718,anzali,5/1/1999 0:00,45.84,17.772
40718,anzali,6/1/1999 0:00,4.62,23.2552
40718,anzali,7/1/1999 0:00,45.51,25.8467
40718,anzali,8/1/1999 0:00,114.83,27.8667
40718,anzali,9/1/1999 0:00,378.52,22.75
40718,anzali,10/1/1999 0:00,233.45,19.1357
40718,anzali,11/1/1999 0:00,280.95,12.036
40718,anzali,12/1/1999 0:00,75.01,11.1692
40718,anzali,1/1/2000 0:00,197.84,8.11765
40718,anzali,2/1/2000 0:00,108.02,7.80455
40718,anzali,3/1/2000 0:00,112.64,8.675
40718,anzali,4/1/2000 0:00,4.77,16.1458
40718,anzali,5/1/2000 0:00,18.44,19.5478
40718,anzali,6/1/2000 0:00,49.72,23.0286
40718,anzali,7/1/2000 0:00,2.72,26.93
40718,anzali,8/1/2000 0:00,141.15,27.2462
40718,anzali,9/1/2000 0:00,219.6,23.604
40718,anzali,10/1/2000 0:00,408.87,17.236
40718,anzali,11/1/2000 0:00,489.17,13.0607
40718,anzali,12/1/2000 0:00,256.87,10.0815
40718,anzali,1/1/2001 0:00,358.34,7.46429
40718,anzali,2/1/2001 0:00,24.82,9.24783
40718,anzali,3/1/2001 0:00,67.73,11.4621
40718,anzali,4/1/2001 0:00,17.84,15.5423
40718,anzali,5/1/2001 0:00,51.56,19.8345
40718,anzali,6/1/2001 0:00,39.01,23.4233
40718,anzali,7/1/2001 0:00,4.45,26.0129
40718,anzali,8/1/2001 0:00,90.04,27.0607
40718,anzali,9/1/2001 0:00,366.63,23.6517
40718,anzali,10/1/2001 0:00,480.35,18.1929
40718,anzali,11/1/2001 0:00,224.94,13.9793
40718,anzali,12/1/2001 0:00,177.98,11.1
40718,anzali,1/1/2002 0:00,59.07,7.79259
40718,anzali,2/1/2002 0:00,35.73,9.08333
40718,anzali,3/1/2002 0:00,67.13,11.6222
40718,anzali,4/1/2002 0:00,66.69,13.04
40718,anzali,5/1/2002 0:00,69.38,17.09
40718,anzali,6/1/2002 0:00,17.11,23.5714
40718,anzali,7/1/2002 0:00,7.25,26.9613
40718,anzali,8/1/2002 0:00,144.26,26.9069
40718,anzali,9/1/2002 0:00,104.12,24.4
40718,anzali,10/1/2002 0:00,125.68,21.0552
40718,anzali,11/1/2002 0:00,198.51,14.9462
40718,anzali,12/1/2002 0:00,529.83,6.03182
40718,anzali,1/1/2003 0:00,74.65,7.90645
40718,anzali,2/1/2003 0:00,129.42,7.46786
40718,anzali,3/1/2003 0:00,112.38,7.21935
40718,anzali,4/1/2003 0:00,121.43,10.86
40718,anzali,5/1/2003 0:00,55.04,18.1097
40718,anzali,6/1/2003 0:00,62.25,21.7667
40718,anzali,7/1/2003 0:00,12.97,25.6194
40718,anzali,8/1/2003 0:00,27.66,25.871
40718,anzali,9/1/2003 0:00,488.96,22.1
40718,anzali,10/1/2003 0:00,64.83,20.6129
40718,anzali,11/1/2003 0:00,344.14,13.6533
40718,anzali,12/1/2003 0:00,353.83,10.8161
40718,anzali,1/1/2004 0:00,83.74,10.2839
40718,anzali,2/1/2004 0:00,33.21,10.7862
40718,anzali,3/1/2004 0:00,174.87,10.829
40718,anzali,4/1/2004 0:00,130.71,12.16
40718,anzali,5/1/2004 0:00,72.37,18.4839
40718,anzali,6/1/2004 0:00,76.36,23.5633
40718,anzali,7/1/2004 0:00,76.27,24.6419
40718,anzali,8/1/2004 0:00,127.44,26.7258
40718,anzali,9/1/2004 0:00,357.91,22.5767
40718,anzali,10/1/2004 0:00,205.31,18.4484
40718,anzali,11/1/2004 0:00,411.45,14.89
40718,anzali,12/1/2004 0:00,231.82,8.59032
40718,anzali,1/1/2005 0:00,65.84,8.85
40718,anzali,2/1/2005 0:00,314.81,5.79565
40718,anzali,3/1/2005 0:00,104.03,10.2519
40718,anzali,4/1/2005 0:00,32.91,14.7
40718,anzali,5/1/2005 0:00,50.56,19.3
40718,anzali,6/1/2005 0:00,34.59,23.1926
40718,anzali,7/1/2005 0:00,43.34,26.9065
40718,anzali,8/1/2005 0:00,68.78,26.4793
40718,anzali,9/1/2005 0:00,263.16,23.7037
40718,anzali,10/1/2005 0:00,297.19,19.0462
40718,anzali,11/1/2005 0:00,250.7,13.9931
40718,anzali,12/1/2005 0:00,79.24,11.9833
40718,anzali,1/1/2006 0:00,191.15,6.49032
40718,anzali,2/1/2006 0:00,18.6,7.66786
